borrower_id,doc_type,file_name,status,quality_score,note
B10009,income_document,b10009_income_document.pdf,verified,73,Structured checks passed
B10010,identity,b10010_identity.pdf,verified,88,Structured checks passed
B10010,bank_statement,b10010_bank_statement.pdf,verified,93,Structured checks passed
B10010,income_document,b10010_income_document.pdf,verified,95,Structured checks passed
B10011,identity,b10011_identity.pdf,verified,32,Structured checks passed
B10011,bank_statement,b10011_bank_statement.pdf,needs_review,33,OCR pending — status from structured verification
B10011,income_document,b10011_income_document.pdf,suspicious,42,OCR pending — status from structured verification
B10012,identity,b10012_identity.pdf,verified,61,Structured checks passed
B10012,bank_statement,b10012_bank_statement.pdf,verified,55,Structured checks passed
B10012,income_document,b10012_income_document.pdf,verified,56,Structured checks passed
B10012,business_document,b10012_business_document.pdf,verified,49,Structured checks passed
B10013,identity,b10013_identity.pdf,verified,49,Structured checks passed
B10013,bank_statement,b10013_bank_statement.pdf,verified,52,Structured checks passed
B10013,income_document,b10013_income_document.pdf,suspicious,46,OCR pending — status from structured verification
B10014,identity,b10014_identity.pdf,verified,48,Structured checks passed
B10014,bank_statement,b10014_bank_statement.pdf,needs_review,61,OCR pending — status from structured verification
B10014,income_document,b10014_income_document.pdf,suspicious,45,OCR pending — status from structured verification
B10015,identity,b10015_identity.pdf,verified,40,Structured checks passed
B10015,bank_statement,b10015_bank_statement.pdf,verified,37,Structured checks passed
B10015,income_document,b10015_income_document.pdf,verified,52,Structured checks passed
B10015,salary_slip,b10015_salary_slip.pdf,verified,50,Structured checks passed
B10016,identity,b10016_identity.pdf,verified,82,Structured checks passed
B10016,bank_statement,b10016_bank_statement.pdf,verified,81,Structured checks passed
B10016,income_document,b10016_income_document.pdf,verified,65,Structured checks passed
B10016,business_document,b10016_business_document.pdf,verified,78,Structured checks passed
B10017,identity,b10017_identity.pdf,needs_review,53,OCR pending — status from structured verification
B10017,bank_statement,b10017_bank_statement.pdf,verified,60,Structured checks passed
B10017,income_document,b10017_income_document.pdf,verified,65,Structured checks passed
B10018,identity,b10018_identity.pdf,verified,79,Structured checks passed
B10018,bank_statement,b10018_bank_statement.pdf,verified,68,Structured checks passed
B10018,income_document,b10018_income_document.pdf,verified,65,Structured checks passed
B10018,salary_slip,b10018_salary_slip.pdf,verified,70,Structured checks passed
B10019,identity,b10019_identity.pdf,verified,80,Structured checks passed
B10019,bank_statement,b10019_bank_statement.pdf,verified,89,Structured checks passed
B10019,income_document,b10019_income_document.pdf,verified,86,Structured checks passed
B10020,identity,b10020_identity.pdf,verified,50,Structured checks passed
B10020,bank_statement,b10020_bank_statement.pdf,verified,51,Structured checks passed
B10020,income_document,b10020_income_document.pdf,verified,48,Structured checks passed
B10020,business_document,b10020_business_document.pdf,verified,48,Structured checks passed
B10021,identity,b10021_identity.pdf,verified,61,Structured checks passed
B10021,bank_statement,b10021_bank_statement.pdf,suspicious,64,OCR pending — status from structured verification
B10021,income_document,b10021_income_document.pdf,verified,71,Structured checks passed
B10021,business_document,b10021_business_document.pdf,suspicious,65,OCR pending — status from structured verification
B10022,identity,b10022_identity.pdf,verified,69,Structured checks passed
B10022,bank_statement,b10022_bank_statement.pdf,verified,67,Structured checks passed
B10022,income_document,b10022_income_document.pdf,verified,67,Structured checks passed
B10022,business_document,b10022_business_document.pdf,verified,56,Structured checks passed
B10023,identity,b10023_identity.pdf,verified,63,Structured checks passed
B10023,bank_statement,b10023_bank_statement.pdf,verified,51,Structured checks passed
B10023,income_document,b10023_income_document.pdf,needs_review,52,OCR pending — status from structured verification
B10023,business_document,b10023_business_document.pdf,verified,48,Structured checks passed
B10024,identity,b10024_identity.pdf,suspicious,83,OCR pending — status from structured verification
B10024,bank_statement,b10024_bank_statement.pdf,needs_review,77,OCR pending — status from structured verification
B10024,income_document,b10024_income_document.pdf,needs_review,94,OCR pending — status from structured verification
B10025,identity,b10025_identity.pdf,suspicious,42,OCR pending — status from structured verification
B10025,bank_statement,b10025_bank_statement.pdf,suspicious,47,OCR pending — status from structured verification
B10025,income_document,b10025_income_document.pdf,verified,50,Structured checks passed
B10025,salary_slip,b10025_salary_slip.pdf,verified,46,Structured checks passed
B10026,identity,b10026_identity.pdf,verified,82,Structured checks passed
B10026,bank_statement,b10026_bank_statement.pdf,verified,64,Structured checks passed
B10026,income_document,b10026_income_document.pdf,verified,65,Structured checks passed
B10026,salary_slip,b10026_salary_slip.pdf,verified,69,Structured checks passed
B10027,identity,b10027_identity.pdf,suspicious,70,OCR pending — status from structured verification
B10027,bank_statement,b10027_bank_statement.pdf,suspicious,55,OCR pending — status from structured verification
B10027,income_document,b10027_income_document.pdf,verified,55,Structured checks passed
B10028,identity,b10028_identity.pdf,verified,73,Structured checks passed
B10028,bank_statement,b10028_bank_statement.pdf,needs_review,71,OCR pending — status from structured verification
B10028,income_document,b10028_income_document.pdf,verified,61,Structured checks passed
B10029,identity,b10029_identity.pdf,suspicious,54,OCR pending — status from structured verification
B10029,bank_statement,b10029_bank_statement.pdf,verified,58,Structured checks passed
B10029,income_document,b10029_income_document.pdf,verified,57,Structured checks passed
B10029,business_document,b10029_business_document.pdf,verified,49,Structured checks passed
B10030,identity,b10030_identity.pdf,verified,64,Structured checks passed
B10030,bank_statement,b10030_bank_statement.pdf,verified,66,Structured checks passed
B10030,income_document,b10030_income_document.pdf,verified,75,Structured checks passed
B10031,identity,b10031_identity.pdf,verified,81,Structured checks passed
B10031,bank_statement,b10031_bank_statement.pdf,verified,88,Structured checks passed
B10031,income_document,b10031_income_document.pdf,verified,87,Structured checks passed
B10031,salary_slip,b10031_salary_slip.pdf,verified,97,Structured checks passed
B10032,identity,b10032_identity.pdf,needs_review,78,OCR pending — status from structured verification
B10032,bank_statement,b10032_bank_statement.pdf,suspicious,90,OCR pending — status from structured verification
B10032,income_document,b10032_income_document.pdf,needs_review,96,OCR pending — status from structured verification
B10033,identity,b10033_identity.pdf,suspicious,50,OCR pending — status from structured verification
B10033,bank_statement,b10033_bank_statement.pdf,verified,65,Structured checks passed
B10033,income_document,b10033_income_document.pdf,verified,59,Structured checks passed
B10033,salary_slip,b10033_salary_slip.pdf,verified,58,Structured checks passed
B10034,identity,b10034_identity.pdf,verified,38,Structured checks passed
B10034,bank_statement,b10034_bank_statement.pdf,verified,43,Structured checks passed
B10034,income_document,b10034_income_document.pdf,verified,53,Structured checks passed
B10034,salary_slip,b10034_salary_slip.pdf,verified,49,Structured checks passed
B10035,identity,b10035_identity.pdf,verified,78,Structured checks passed
B10035,bank_statement,b10035_bank_statement.pdf,needs_review,58,OCR pending — status from structured verification
B10035,income_document,b10035_income_document.pdf,verified,68,Structured checks passed
B10035,salary_slip,b10035_salary_slip.pdf,verified,58,Structured checks passed
B10036,identity,b10036_identity.pdf,needs_review,51,OCR pending — status from structured verification
B10036,bank_statement,b10036_bank_statement.pdf,verified,45,Structured checks passed
B10036,income_document,b10036_income_document.pdf,suspicious,43,OCR pending — status from structured verification
B10037,identity,b10037_identity.pdf,verified,52,Structured checks passed
B10037,bank_statement,b10037_bank_statement.pdf,suspicious,61,OCR pending — status from structured verification
B10037,income_document,b10037_income_document.pdf,verified,63,Structured checks passed
B10037,salary_slip,b10037_salary_slip.pdf,verified,55,Structured checks passed
B10038,identity,b10038_identity.pdf,verified,85,Structured checks passed
B10038,bank_statement,b10038_bank_statement.pdf,verified,84,Structured checks passed
B10038,income_document,b10038_income_document.pdf,verified,90,Structured checks passed
B10038,salary_slip,b10038_salary_slip.pdf,verified,85,Structured checks passed
B10039,identity,b10039_identity.pdf,verified,81,Structured checks passed
B10039,bank_statement,b10039_bank_statement.pdf,verified,85,Structured checks passed
B10039,income_document,b10039_income_document.pdf,verified,83,Structured checks passed
B10040,identity,b10040_identity.pdf,verified,54,Structured checks passed
B10040,bank_statement,b10040_bank_statement.pdf,verified,56,Structured checks passed
B10040,income_document,b10040_income_document.pdf,suspicious,57,OCR pending — status from structured verification
B10041,identity,b10041_identity.pdf,needs_review,43,OCR pending — status from structured verification
B10041,bank_statement,b10041_bank_statement.pdf,verified,55,Structured checks passed
B10041,income_document,b10041_income_document.pdf,suspicious,55,OCR pending — status from structured verification
B10042,identity,b10042_identity.pdf,needs_review,57,OCR pending — status from structured verification
B10042,bank_statement,b10042_bank_statement.pdf,verified,70,Structured checks passed
B10042,income_document,b10042_income_document.pdf,needs_review,57,OCR pending — status from structured verification
B10042,business_document,b10042_business_document.pdf,verified,67,Structured checks passed
B10043,identity,b10043_identity.pdf,needs_review,78,OCR pending — status from structured verification
B10043,bank_statement,b10043_bank_statement.pdf,needs_review,69,OCR pending — status from structured verification
B10043,income_document,b10043_income_document.pdf,verified,82,Structured checks passed
B10044,identity,b10044_identity.pdf,verified,90,Structured checks passed
B10044,bank_statement,b10044_bank_statement.pdf,verified,92,Structured checks passed
B10044,income_document,b10044_income_document.pdf,verified,92,Structured checks passed
B10044,business_document,b10044_business_document.pdf,verified,81,Structured checks passed
B10045,identity,b10045_identity.pdf,suspicious,49,OCR pending — status from structured verification
B10045,bank_statement,b10045_bank_statement.pdf,verified,53,Structured checks passed
B10045,income_document,b10045_income_document.pdf,suspicious,46,OCR pending — status from structured verification
B10045,business_document,b10045_business_document.pdf,verified,56,Structured checks passed
B10046,identity,b10046_identity.pdf,needs_review,73,OCR pending — status from structured verification
B10046,bank_statement,b10046_bank_statement.pdf,verified,84,Structured checks passed
B10046,income_document,b10046_income_document.pdf,verified,68,Structured checks passed
B10047,identity,b10047_identity.pdf,needs_review,57,OCR pending — status from structured verification
B10047,bank_statement,b10047_bank_statement.pdf,verified,60,Structured checks passed
B10047,income_document,b10047_income_document.pdf,verified,53,Structured checks passed
B10047,business_document,b10047_business_document.pdf,verified,66,Structured checks passed
B10048,identity,b10048_identity.pdf,verified,38,Structured checks passed
B10048,bank_statement,b10048_bank_statement.pdf,verified,49,Structured checks passed
B10048,income_document,b10048_income_document.pdf,needs_review,40,OCR pending — status from structured verification
B10048,salary_slip,b10048_salary_slip.pdf,needs_review,29,OCR pending — status from structured verification
B10049,identity,b10049_identity.pdf,verified,52,Structured checks passed
B10049,bank_statement,b10049_bank_statement.pdf,verified,59,Structured checks passed
B10049,income_document,b10049_income_document.pdf,verified,60,Structured checks passed
B10049,business_document,b10049_business_document.pdf,verified,55,Structured checks passed
B10050,identity,b10050_identity.pdf,verified,71,Structured checks passed
B10050,bank_statement,b10050_bank_statement.pdf,suspicious,74,OCR pending — status from structured verification
B10050,income_document,b10050_income_document.pdf,suspicious,88,OCR pending — status from structured verification
B10050,business_document,b10050_business_document.pdf,suspicious,88,OCR pending — status from structured verification
B10051,identity,b10051_identity.pdf,verified,99,Structured checks passed
B10051,bank_statement,b10051_bank_statement.pdf,verified,87,Structured checks passed
B10051,income_document,b10051_income_document.pdf,verified,99,Structured checks passed
B10051,salary_slip,b10051_salary_slip.pdf,verified,99,Structured checks passed
B10052,identity,b10052_identity.pdf,verified,83,Structured checks passed
B10052,bank_statement,b10052_bank_statement.pdf,verified,83,Structured checks passed
B10052,income_document,b10052_income_document.pdf,verified,98,Structured checks passed
B10053,identity,b10053_identity.pdf,verified,86,Structured checks passed
B10053,bank_statement,b10053_bank_statement.pdf,needs_review,76,OCR pending — status from structured verification
B10053,income_document,b10053_income_document.pdf,verified,87,Structured checks passed
B10054,identity,b10054_identity.pdf,verified,79,Structured checks passed
B10054,bank_statement,b10054_bank_statement.pdf,verified,67,Structured checks passed
B10054,income_document,b10054_income_document.pdf,verified,71,Structured checks passed
B10055,identity,b10055_identity.pdf,verified,72,Structured checks passed
B10055,bank_statement,b10055_bank_statement.pdf,verified,74,Structured checks passed
B10055,income_document,b10055_income_document.pdf,verified,69,Structured checks passed
B10056,identity,b10056_identity.pdf,verified,71,Structured checks passed
B10056,bank_statement,b10056_bank_statement.pdf,verified,76,Structured checks passed
B10056,income_document,b10056_income_document.pdf,verified,84,Structured checks passed
B10056,salary_slip,b10056_salary_slip.pdf,verified,73,Structured checks passed
B10057,identity,b10057_identity.pdf,verified,57,Structured checks passed
B10057,bank_statement,b10057_bank_statement.pdf,verified,76,Structured checks passed
B10057,income_document,b10057_income_document.pdf,verified,68,Structured checks passed
B10057,salary_slip,b10057_salary_slip.pdf,verified,76,Structured checks passed
B10058,identity,b10058_identity.pdf,verified,78,Structured checks passed
B10058,bank_statement,b10058_bank_statement.pdf,verified,87,Structured checks passed
B10058,income_document,b10058_income_document.pdf,verified,75,Structured checks passed
B10059,identity,b10059_identity.pdf,verified,64,Structured checks passed
B10059,bank_statement,b10059_bank_statement.pdf,needs_review,77,OCR pending — status from structured verification
B10059,income_document,b10059_income_document.pdf,needs_review,80,OCR pending — status from structured verification
B10059,salary_slip,b10059_salary_slip.pdf,needs_review,63,OCR pending — status from structured verification
B10060,identity,b10060_identity.pdf,verified,74,Structured checks passed
B10060,bank_statement,b10060_bank_statement.pdf,verified,78,Structured checks passed
B10060,income_document,b10060_income_document.pdf,verified,76,Structured checks passed
B10061,identity,b10061_identity.pdf,verified,64,Structured checks passed
B10061,bank_statement,b10061_bank_statement.pdf,verified,64,Structured checks passed
B10061,income_document,b10061_income_document.pdf,verified,57,Structured checks passed
B10061,business_document,b10061_business_document.pdf,verified,68,Structured checks passed
B10062,identity,b10062_identity.pdf,verified,99,Structured checks passed
B10062,bank_statement,b10062_bank_statement.pdf,verified,92,Structured checks passed
B10062,income_document,b10062_income_document.pdf,verified,90,Structured checks passed
B10062,business_document,b10062_business_document.pdf,verified,89,Structured checks passed
B10063,identity,b10063_identity.pdf,verified,91,Structured checks passed
B10063,bank_statement,b10063_bank_statement.pdf,verified,93,Structured checks passed
B10063,income_document,b10063_income_document.pdf,verified,99,Structured checks passed
B10063,business_document,b10063_business_document.pdf,verified,96,Structured checks passed
B10064,identity,b10064_identity.pdf,verified,77,Structured checks passed
B10064,bank_statement,b10064_bank_statement.pdf,verified,85,Structured checks passed
B10064,income_document,b10064_income_document.pdf,needs_review,82,OCR pending — status from structured verification
B10064,business_document,b10064_business_document.pdf,verified,70,Structured checks passed
B10065,identity,b10065_identity.pdf,verified,63,Structured checks passed
B10065,bank_statement,b10065_bank_statement.pdf,verified,56,Structured checks passed
B10065,income_document,b10065_income_document.pdf,verified,70,Structured checks passed
B10065,business_document,b10065_business_document.pdf,verified,69,Structured checks passed
B10066,identity,b10066_identity.pdf,verified,45,Structured checks passed
B10066,bank_statement,b10066_bank_statement.pdf,verified,49,Structured checks passed
B10066,income_document,b10066_income_document.pdf,verified,47,Structured checks passed
B10066,salary_slip,b10066_salary_slip.pdf,verified,61,Structured checks passed
B10067,identity,b10067_identity.pdf,suspicious,72,OCR pending — status from structured verification
B10067,bank_statement,b10067_bank_statement.pdf,suspicious,65,OCR pending — status from structured verification
B10067,income_document,b10067_income_document.pdf,verified,55,Structured checks passed
B10067,salary_slip,b10067_salary_slip.pdf,verified,55,Structured checks passed
B10068,identity,b10068_identity.pdf,needs_review,61,OCR pending — status from structured verification
B10068,bank_statement,b10068_bank_statement.pdf,verified,55,Structured checks passed
B10068,income_document,b10068_income_document.pdf,needs_review,61,OCR pending — status from structured verification
B10068,business_document,b10068_business_document.pdf,verified,63,Structured checks passed
B10069,identity,b10069_identity.pdf,needs_review,90,OCR pending — status from structured verification
B10069,bank_statement,b10069_bank_statement.pdf,needs_review,99,OCR pending — status from structured verification
B10069,income_document,b10069_income_document.pdf,verified,96,Structured checks passed
B10069,business_document,b10069_business_document.pdf,needs_review,89,OCR pending — status from structured verification
B10070,identity,b10070_identity.pdf,verified,48,Structured checks passed
B10070,bank_statement,b10070_bank_statement.pdf,verified,46,Structured checks passed
B10070,income_document,b10070_income_document.pdf,verified,49,Structured checks passed
B10071,identity,b10071_identity.pdf,verified,88,Structured checks passed
B10071,bank_statement,b10071_bank_statement.pdf,verified,75,Structured checks passed
B10071,income_document,b10071_income_document.pdf,verified,91,Structured checks passed
B10071,salary_slip,b10071_salary_slip.pdf,verified,83,Structured checks passed
B10072,identity,b10072_identity.pdf,verified,69,Structured checks passed
B10072,bank_statement,b10072_bank_statement.pdf,verified,61,Structured checks passed
B10072,income_document,b10072_income_document.pdf,verified,74,Structured checks passed
B10073,identity,b10073_identity.pdf,needs_review,70,OCR pending — status from structured verification
B10073,bank_statement,b10073_bank_statement.pdf,needs_review,78,OCR pending — status from structured verification
B10073,income_document,b10073_income_document.pdf,verified,75,Structured checks passed
B10074,identity,b10074_identity.pdf,verified,76,Structured checks passed
B10074,bank_statement,b10074_bank_statement.pdf,verified,69,Structured checks passed
B10074,income_document,b10074_income_document.pdf,needs_review,76,OCR pending — status from structured verification
B10075,identity,b10075_identity.pdf,verified,69,Structured checks passed
B10075,bank_statement,b10075_bank_statement.pdf,verified,59,Structured checks passed
B10075,income_document,b10075_income_document.pdf,verified,57,Structured checks passed
B10075,salary_slip,b10075_salary_slip.pdf,verified,70,Structured checks passed
B10076,identity,b10076_identity.pdf,suspicious,29,OCR pending — status from structured verification
B10076,bank_statement,b10076_bank_statement.pdf,verified,41,Structured checks passed
B10076,income_document,b10076_income_document.pdf,suspicious,32,OCR pending — status from structured verification
B10076,business_document,b10076_business_document.pdf,verified,31,Structured checks passed
B10077,identity,b10077_identity.pdf,verified,61,Structured checks passed
B10077,bank_statement,b10077_bank_statement.pdf,suspicious,70,OCR pending — status from structured verification
B10077,income_document,b10077_income_document.pdf,suspicious,59,OCR pending — status from structured verification
B10078,identity,b10078_identity.pdf,verified,85,Structured checks passed
B10078,bank_statement,b10078_bank_statement.pdf,verified,92,Structured checks passed
B10078,income_document,b10078_income_document.pdf,verified,99,Structured checks passed
B10078,salary_slip,b10078_salary_slip.pdf,verified,90,Structured checks passed
B10079,identity,b10079_identity.pdf,verified,60,Structured checks passed
B10079,bank_statement,b10079_bank_statement.pdf,verified,42,Structured checks passed
B10079,income_document,b10079_income_document.pdf,verified,52,Structured checks passed
B10080,identity,b10080_identity.pdf,verified,82,Structured checks passed
B10080,bank_statement,b10080_bank_statement.pdf,verified,87,Structured checks passed
B10080,income_document,b10080_income_document.pdf,needs_review,82,OCR pending — status from structured verification
B10080,salary_slip,b10080_salary_slip.pdf,needs_review,78,OCR pending — status from structured verification
B10081,identity,b10081_identity.pdf,needs_review,66,OCR pending — status from structured verification
B10081,bank_statement,b10081_bank_statement.pdf,verified,58,Structured checks passed
B10081,income_document,b10081_income_document.pdf,verified,72,Structured checks passed
B10082,identity,b10082_identity.pdf,suspicious,45,OCR pending — status from structured verification
B10082,bank_statement,b10082_bank_statement.pdf,suspicious,41,OCR pending — status from structured verification
B10082,income_document,b10082_income_document.pdf,suspicious,52,OCR pending — status from structured verification
B10082,business_document,b10082_business_document.pdf,suspicious,59,OCR pending — status from structured verification
B10083,identity,b10083_identity.pdf,verified,61,Structured checks passed
B10083,bank_statement,b10083_bank_statement.pdf,verified,57,Structured checks passed
B10083,income_document,b10083_income_document.pdf,verified,56,Structured checks passed
B10084,identity,b10084_identity.pdf,needs_review,29,OCR pending — status from structured verification
B10084,bank_statement,b10084_bank_statement.pdf,suspicious,25,OCR pending — status from structured verification
B10084,income_document,b10084_income_document.pdf,needs_review,22,OCR pending — status from structured verification
B10085,identity,b10085_identity.pdf,needs_review,61,OCR pending — status from structured verification
B10085,bank_statement,b10085_bank_statement.pdf,verified,60,Structured checks passed
B10085,income_document,b10085_income_document.pdf,verified,57,Structured checks passed
B10085,salary_slip,b10085_salary_slip.pdf,verified,74,Structured checks passed
B10086,identity,b10086_identity.pdf,verified,76,Structured checks passed
B10086,bank_statement,b10086_bank_statement.pdf,verified,63,Structured checks passed
B10086,income_document,b10086_income_document.pdf,verified,68,Structured checks passed
B10086,business_document,b10086_business_document.pdf,verified,72,Structured checks passed
B10087,identity,b10087_identity.pdf,needs_review,54,OCR pending — status from structured verification
B10087,bank_statement,b10087_bank_statement.pdf,verified,53,Structured checks passed
B10087,income_document,b10087_income_document.pdf,suspicious,56,OCR pending — status from structured verification
B10087,business_document,b10087_business_document.pdf,verified,64,Structured checks passed
B10088,identity,b10088_identity.pdf,suspicious,75,OCR pending — status from structured verification
B10088,bank_statement,b10088_bank_statement.pdf,needs_review,76,OCR pending — status from structured verification
B10088,income_document,b10088_income_document.pdf,suspicious,66,OCR pending — status from structured verification
B10088,business_document,b10088_business_document.pdf,needs_review,65,OCR pending — status from structured verification
B10089,identity,b10089_identity.pdf,needs_review,40,OCR pending — status from structured verification
B10089,bank_statement,b10089_bank_statement.pdf,suspicious,55,OCR pending — status from structured verification
B10089,income_document,b10089_income_document.pdf,suspicious,43,OCR pending — status from structured verification
B10090,identity,b10090_identity.pdf,verified,85,Structured checks passed
B10090,bank_statement,b10090_bank_statement.pdf,verified,81,Structured checks passed
B10090,income_document,b10090_income_document.pdf,verified,75,Structured checks passed
B10090,salary_slip,b10090_salary_slip.pdf,verified,76,Structured checks passed
B10091,identity,b10091_identity.pdf,needs_review,57,OCR pending — status from structured verification
B10091,bank_statement,b10091_bank_statement.pdf,verified,51,Structured checks passed
B10091,income_document,b10091_income_document.pdf,suspicious,51,OCR pending — status from structured verification
B10091,business_document,b10091_business_document.pdf,verified,61,Structured checks passed
B10092,identity,b10092_identity.pdf,verified,82,Structured checks passed
B10092,bank_statement,b10092_bank_statement.pdf,verified,84,Structured checks passed
B10092,income_document,b10092_income_document.pdf,verified,73,Structured checks passed
B10093,identity,b10093_identity.pdf,verified,70,Structured checks passed
B10093,bank_statement,b10093_bank_statement.pdf,verified,70,Structured checks passed
B10093,income_document,b10093_income_document.pdf,suspicious,54,OCR pending — status from structured verification
B10094,identity,b10094_identity.pdf,needs_review,88,OCR pending — status from structured verification
B10094,bank_statement,b10094_bank_statement.pdf,verified,93,Structured checks passed
B10094,income_document,b10094_income_document.pdf,verified,85,Structured checks passed
B10094,salary_slip,b10094_salary_slip.pdf,verified,99,Structured checks passed
B10095,identity,b10095_identity.pdf,verified,55,Structured checks passed
B10095,bank_statement,b10095_bank_statement.pdf,verified,59,Structured checks passed
B10095,income_document,b10095_income_document.pdf,verified,58,Structured checks passed
B10095,salary_slip,b10095_salary_slip.pdf,verified,64,Structured checks passed
B10096,identity,b10096_identity.pdf,verified,69,Structured checks passed
B10096,bank_statement,b10096_bank_statement.pdf,verified,84,Structured checks passed
B10096,income_document,b10096_income_document.pdf,verified,80,Structured checks passed
B10096,business_document,b10096_business_document.pdf,verified,79,Structured checks passed
B10097,identity,b10097_identity.pdf,verified,77,Structured checks passed
B10097,bank_statement,b10097_bank_statement.pdf,verified,80,Structured checks passed
B10097,income_document,b10097_income_document.pdf,verified,87,Structured checks passed
B10097,business_document,b10097_business_document.pdf,verified,73,Structured checks passed
B10098,identity,b10098_identity.pdf,verified,55,Structured checks passed
B10098,bank_statement,b10098_bank_statement.pdf,verified,59,Structured checks passed
B10098,income_document,b10098_income_document.pdf,verified,55,Structured checks passed
B10099,identity,b10099_identity.pdf,verified,79,Structured checks passed
B10099,bank_statement,b10099_bank_statement.pdf,verified,77,Structured checks passed
B10099,income_document,b10099_income_document.pdf,needs_review,85,OCR pending — status from structured verification
B10099,business_document,b10099_business_document.pdf,verified,79,Structured checks passed
B10100,identity,b10100_identity.pdf,verified,35,Structured checks passed
B10100,bank_statement,b10100_bank_statement.pdf,verified,46,Structured checks passed
B10100,income_document,b10100_income_document.pdf,verified,37,Structured checks passed
B10100,business_document,b10100_business_document.pdf,verified,35,Structured checks passed
B10101,identity,b10101_identity.pdf,suspicious,44,OCR pending — status from structured verification
B10101,bank_statement,b10101_bank_statement.pdf,needs_review,47,OCR pending — status from structured verification
B10101,income_document,b10101_income_document.pdf,suspicious,44,OCR pending — status from structured verification
B10101,salary_slip,b10101_salary_slip.pdf,suspicious,51,OCR pending — status from structured verification
B10102,identity,b10102_identity.pdf,verified,85,Structured checks passed
B10102,bank_statement,b10102_bank_statement.pdf,needs_review,94,OCR pending — status from structured verification
B10102,income_document,b10102_income_document.pdf,needs_review,98,OCR pending — status from structured verification
B10102,salary_slip,b10102_salary_slip.pdf,needs_review,91,OCR pending — status from structured verification
B10103,identity,b10103_identity.pdf,verified,56,Structured checks passed
B10103,bank_statement,b10103_bank_statement.pdf,needs_review,68,OCR pending — status from structured verification
B10103,income_document,b10103_income_document.pdf,needs_review,71,OCR pending — status from structured verification
B10104,identity,b10104_identity.pdf,verified,72,Structured checks passed
B10104,bank_statement,b10104_bank_statement.pdf,verified,62,Structured checks passed
B10104,income_document,b10104_income_document.pdf,needs_review,58,OCR pending — status from structured verification
B10104,salary_slip,b10104_salary_slip.pdf,needs_review,60,OCR pending — status from structured verification
B10105,identity,b10105_identity.pdf,needs_review,42,OCR pending — status from structured verification
B10105,bank_statement,b10105_bank_statement.pdf,verified,49,Structured checks passed
B10105,income_document,b10105_income_document.pdf,verified,51,Structured checks passed
B10106,identity,b10106_identity.pdf,verified,88,Structured checks passed
B10106,bank_statement,b10106_bank_statement.pdf,verified,92,Structured checks passed
B10106,income_document,b10106_income_document.pdf,verified,97,Structured checks passed
B10106,business_document,b10106_business_document.pdf,verified,99,Structured checks passed
B10107,identity,b10107_identity.pdf,verified,94,Structured checks passed
B10107,bank_statement,b10107_bank_statement.pdf,verified,86,Structured checks passed
B10107,income_document,b10107_income_document.pdf,verified,93,Structured checks passed
B10107,business_document,b10107_business_document.pdf,verified,90,Structured checks passed
B10108,identity,b10108_identity.pdf,suspicious,51,OCR pending — status from structured verification
B10108,bank_statement,b10108_bank_statement.pdf,verified,45,Structured checks passed
