borrower_id,month,label,income,expenses,debt,transactions,bounced,disputed
B10016,3,M-3,95845,60707,24330,45,0,0
B10016,4,M-2,92104,52184,15754,58,0,0
B10016,5,M-1,88725,55762,43551,47,0,0
B10017,0,M-6,19452,12292,31851,50,0,0
B10017,1,M-5,22315,17617,4139,66,0,0
B10017,2,M-4,22505,13837,20326,50,0,0
B10017,3,M-3,24135,21137,33338,64,0,0
B10017,4,M-2,25591,12559,23708,84,0,0
B10017,5,M-1,28511,22182,23661,33,0,0
B10018,0,M-6,30788,18366,5258,37,0,0
B10018,1,M-5,32151,24292,3856,56,0,0
B10018,2,M-4,31384,24386,12267,58,0,0
B10018,3,M-3,30464,14603,5236,54,0,0
B10018,4,M-2,33748,25003,4360,84,0,0
B10018,5,M-1,36558,27770,15063,51,0,0
B10019,0,M-6,36876,24799,19263,41,0,0
B10019,1,M-5,33826,24557,9307,72,0,0
B10019,2,M-4,38770,27915,15416,46,0,0
B10019,3,M-3,34675,22230,16642,36,0,0
B10019,4,M-2,40653,24904,14793,66,0,0
B10019,5,M-1,41275,19485,16058,54,0,0
B10020,0,M-6,16571,11989,2147,29,0,0
B10020,1,M-5,17745,10261,4771,61,0,0
B10020,2,M-4,17761,12214,9038,49,0,0
B10020,3,M-3,18929,12320,5876,50,0,0
B10020,4,M-2,19125,10277,2740,72,0,0
B10020,5,M-1,19152,11213,6119,42,0,0
B10021,0,M-6,33641,30457,5433,33,0,0
B10021,1,M-5,31332,16679,16405,71,0,0
B10021,2,M-4,32213,29650,39898,79,0,0
B10021,3,M-3,31168,23923,25772,33,1,0
B10021,4,M-2,31096,22288,23791,35,0,0
B10021,5,M-1,34762,18323,30202,71,0,0
B10022,0,M-6,39285,20636,9574,28,0,0
B10022,1,M-5,37173,28208,14359,55,0,0
B10022,2,M-4,38774,28945,10813,82,0,0
B10022,3,M-3,41581,29828,9781,51,0,0
B10022,4,M-2,41629,21569,12755,29,0,0
B10022,5,M-1,42368,30401,8412,89,0,0
B10023,0,M-6,30180,22808,22773,80,0,0
B10023,1,M-5,31566,25344,24728,61,0,0
B10023,2,M-4,33226,22899,18838,87,0,0
B10023,3,M-3,29995,21494,25873,68,0,0
B10023,4,M-2,32488,25678,36559,42,0,0
B10023,5,M-1,30191,28037,14777,44,0,0
B10024,0,M-6,28333,13278,35077,52,0,0
B10024,1,M-5,28685,26303,3979,79,0,0
B10024,2,M-4,28833,15661,29018,81,0,0
B10024,3,M-3,26491,12417,13186,64,0,0
B10024,4,M-2,30451,18804,18666,66,0,0
B10024,5,M-1,28579,25567,7418,57,0,0
B10025,0,M-6,37782,31876,34390,59,0,0
B10025,1,M-5,38852,35301,10797,78,0,0
B10025,2,M-4,46293,25511,35027,35,0,0
B10025,3,M-3,48967,32853,43226,71,0,0
B10025,4,M-2,48501,43624,29822,28,0,0
B10025,5,M-1,47704,31375,36582,61,0,0
B10026,0,M-6,35743,21670,13607,81,0,0
B10026,1,M-5,32982,15353,10167,60,0,0
B10026,2,M-4,36181,26109,5757,89,0,0
B10026,3,M-3,32288,24886,12191,62,0,0
B10026,4,M-2,35615,26228,7186,81,0,0
B10026,5,M-1,36695,23207,9793,42,0,0
B10027,0,M-6,16468,13139,15993,50,0,0
B10027,1,M-5,14732,8998,7374,55,0,0
B10027,2,M-4,16348,9878,8943,82,0,0
B10027,3,M-3,16099,13707,16375,74,0,0
B10027,4,M-2,15949,8797,7986,27,0,0
B10027,5,M-1,18106,14859,1908,60,0,0
B10028,0,M-6,44131,23758,11162,76,0,0
B10028,1,M-5,39770,31249,13092,40,0,0
B10028,2,M-4,45480,25241,19907,30,0,0
B10028,3,M-3,48417,32800,5202,51,0,0
B10028,4,M-2,43319,26710,16375,70,0,0
B10028,5,M-1,41003,30583,16525,46,0,0
B10029,0,M-6,23183,14948,13823,30,0,0
B10029,1,M-5,27079,18207,26479,31,0,0
B10029,2,M-4,22794,15169,20024,58,0,0
B10029,3,M-3,22846,11305,19936,63,0,0
B10029,4,M-2,26196,23101,2820,51,0,0
B10029,5,M-1,26138,21235,20104,89,0,0
B10030,0,M-6,51979,29958,20184,52,0,0
B10030,1,M-5,56262,37951,58949,62,0,0
B10030,2,M-4,61670,56228,82683,52,0,0
B10030,3,M-3,58812,54943,68008,77,0,0
B10030,4,M-2,69669,63203,16273,41,0,0
B10030,5,M-1,74323,39627,60237,61,0,0
B10031,0,M-6,84536,38173,17566,43,0,0
B10031,1,M-5,92028,67052,31267,76,0,0
B10031,2,M-4,91776,53049,16896,32,0,0
B10031,3,M-3,96985,60259,45952,45,0,0
B10031,4,M-2,94314,55399,13765,47,0,0
B10031,5,M-1,98307,50174,34904,77,0,0
B10032,0,M-6,26951,17282,14773,31,0,0
B10032,1,M-5,28270,20156,6526,89,0,0
B10032,2,M-4,26945,15412,12711,53,0,0
B10032,3,M-3,30675,22131,5802,77,0,0
B10032,4,M-2,29120,16677,11448,66,0,0
B10032,5,M-1,27357,13644,5441,38,0,0
B10033,0,M-6,38836,18368,34561,79,0,0
B10033,1,M-5,34155,31242,11547,54,0,0
B10033,2,M-4,42535,28239,52725,84,0,0
B10033,3,M-3,42668,25641,46764,81,0,0
B10033,4,M-2,37253,23478,7833,68,0,0
B10033,5,M-1,42699,20320,34533,72,0,0
B10034,0,M-6,30962,19997,32010,75,0,0
B10034,1,M-5,35380,20155,20487,40,0,0
B10034,2,M-4,34749,16871,42747,25,0,0
B10034,3,M-3,33263,20232,20530,79,0,0
B10034,4,M-2,34065,24635,11053,55,0,0
B10034,5,M-1,38424,18693,29406,25,0,0
B10035,0,M-6,26909,18019,7832,58,0,0
B10035,1,M-5,22559,16937,4376,35,0,0
B10035,2,M-4,26310,20075,9700,32,0,0
B10035,3,M-3,26343,11878,11638,25,0,0
B10035,4,M-2,23020,13291,12284,36,0,0
B10035,5,M-1,27853,12879,11054,71,0,0
B10036,0,M-6,36613,25991,31531,49,0,0
B10036,1,M-5,36483,17966,6993,33,0,0
B10036,2,M-4,34818,16971,26138,53,0,0
B10036,3,M-3,35109,19956,13699,45,0,0
B10036,4,M-2,33426,26753,32930,45,0,0
B10036,5,M-1,29521,14387,11337,75,0,0
B10037,0,M-6,38196,23948,56828,42,0,0
B10037,1,M-5,40032,20990,39858,65,0,0
B10037,2,M-4,43417,30368,55355,56,0,0
B10037,3,M-3,40261,25828,28618,66,0,0
B10037,4,M-2,48294,27749,61776,60,0,0
B10037,5,M-1,42745,27411,45584,56,0,0
B10038,0,M-6,78554,39244,11036,59,0,0
B10038,1,M-5,71999,34227,29188,68,0,0
B10038,2,M-4,73779,41892,17509,88,0,0
B10038,3,M-3,74367,44836,27192,56,0,0
B10038,4,M-2,67055,46772,24829,82,0,0
B10038,5,M-1,69681,40059,27995,77,0,0
B10039,0,M-6,77522,36920,37958,88,0,0
B10039,1,M-5,80188,63737,36410,70,0,0
B10039,2,M-4,81452,55287,27304,53,0,0
B10039,3,M-3,74950,42413,38995,51,0,0
B10039,4,M-2,82898,64159,25164,67,0,0
B10039,5,M-1,78411,37917,20475,60,0,0
B10040,0,M-6,48348,32282,60595,65,0,0
B10040,1,M-5,46248,26775,55717,84,0,0
B10040,2,M-4,38962,25094,26754,46,0,0
B10040,3,M-3,40083,27220,53611,76,0,0
B10040,4,M-2,42282,30074,28008,51,0,0
B10040,5,M-1,37717,28060,47119,86,0,0
B10041,0,M-6,15067,8660,9232,84,0,0
B10041,1,M-5,14517,8521,15585,57,0,0
B10041,2,M-4,14149,7243,1860,49,0,0
B10041,3,M-3,13861,7468,16398,63,0,0
B10041,4,M-2,13031,6930,16813,73,0,0
B10041,5,M-1,13766,8157,8022,35,0,0
B10042,0,M-6,59850,27672,23579,62,0,0
B10042,1,M-5,56947,40107,11625,59,0,0
B10042,2,M-4,63637,48828,22688,57,0,0
B10042,3,M-3,63825,47500,27724,36,0,0
B10042,4,M-2,54431,26931,12519,77,0,0
B10042,5,M-1,61776,31757,22881,46,0,0
B10043,0,M-6,17849,12771,2202,25,0,0
B10043,1,M-5,18409,10367,22149,45,0,0
B10043,2,M-4,16752,11754,8894,29,0,0
B10043,3,M-3,17100,15804,12372,58,0,0
B10043,4,M-2,19513,13012,17733,33,0,0
B10043,5,M-1,22018,15304,19203,35,0,1
B10044,0,M-6,102871,70380,15460,30,0,0
B10044,1,M-5,98275,69112,13607,41,0,0
B10044,2,M-4,94324,75085,21149,55,0,0
B10044,3,M-3,93212,47645,11211,43,0,0
B10044,4,M-2,109170,61075,38289,31,0,0
B10044,5,M-1,109999,51266,42684,68,0,0
B10045,0,M-6,13411,12300,13970,55,0,0
B10045,1,M-5,16281,8673,19866,45,0,0
B10045,2,M-4,17127,10089,14002,60,0,0
B10045,3,M-3,18693,16049,3735,53,0,0
B10045,4,M-2,20891,10320,13799,45,0,0
B10045,5,M-1,24139,19857,2271,51,0,0
B10046,0,M-6,51906,32593,25781,36,0,0
B10046,1,M-5,54750,38636,8329,50,0,0
B10046,2,M-4,56843,43140,16600,50,0,0
B10046,3,M-3,63059,48591,22286,42,0,0
B10046,4,M-2,64864,51221,15472,33,0,0
B10046,5,M-1,60111,41778,21979,44,0,0
B10047,0,M-6,48645,38505,11224,60,0,0
B10047,1,M-5,41612,22386,17367,75,0,0
B10047,2,M-4,51157,37882,23171,70,0,0
B10047,3,M-3,50612,36151,15892,64,0,0
B10047,4,M-2,53489,42122,10856,36,0,0
B10047,5,M-1,54125,27899,8454,58,0,0
B10048,0,M-6,14674,13194,6156,58,0,0
B10048,1,M-5,18048,9632,23605,59,0,0
B10048,2,M-4,15305,7388,17072,75,0,0
B10048,3,M-3,18663,12357,4132,59,0,0
B10048,4,M-2,18531,17384,19468,67,0,1
B10048,5,M-1,19827,16327,5270,54,1,0
B10049,0,M-6,33370,19233,8282,68,0,0
B10049,1,M-5,32555,15535,35800,89,0,0
B10049,2,M-4,31946,24673,6489,68,0,0
B10049,3,M-3,29599,16241,28430,86,0,0
B10049,4,M-2,29791,23405,13467,43,0,0
B10049,5,M-1,27585,15082,24334,46,0,0
B10050,0,M-6,12285,6506,11353,61,0,0
B10050,1,M-5,14476,7572,14277,86,0,0
B10050,2,M-4,12448,10341,5448,42,0,0
B10050,3,M-3,13202,10355,10498,76,0,0
B10050,4,M-2,13863,12600,16916,27,0,0
B10050,5,M-1,14844,7446,18449,66,0,0
B10051,0,M-6,63375,38975,20867,39,0,0
B10051,1,M-5,63126,31560,23747,74,0,0
B10051,2,M-4,68131,42840,11913,69,0,0
B10051,3,M-3,74517,49091,9093,49,0,0
B10051,4,M-2,65715,29953,22037,84,0,0
B10051,5,M-1,75849,56074,24399,36,0,0
B10052,0,M-6,58544,33931,18547,41,0,0
B10052,1,M-5,56523,32248,22017,72,0,0
B10052,2,M-4,63022,42902,22992,54,0,0
B10052,3,M-3,61238,31025,10702,51,0,0
B10052,4,M-2,57033,36655,21822,70,0,0
B10052,5,M-1,54982,43304,5883,30,0,0
B10053,0,M-6,18453,10204,10357,77,0,0
B10053,1,M-5,22031,16669,9199,62,0,0
B10053,2,M-4,20980,16535,7036,75,0,0
B10053,3,M-3,21245,16707,6133,54,0,0
B10053,4,M-2,20564,9451,3169,29,0,0
B10053,5,M-1,20762,16568,8020,39,0,0
B10054,0,M-6,56318,31565,6253,68,0,0
B10054,1,M-5,54950,26665,14799,81,0,0
B10054,2,M-4,52967,28708,12568,87,0,0
B10054,3,M-3,54917,28248,16307,52,0,0
B10054,4,M-2,59760,34528,15742,54,0,0
B10054,5,M-1,57900,45900,22648,77,0,0
B10055,0,M-6,31968,24535,4306,47,0,0
B10055,1,M-5,31414,21316,12566,64,0,0
B10055,2,M-4,31991,24336,13489,86,0,0
B10055,3,M-3,34339,21714,9162,35,0,0
B10055,4,M-2,35081,17322,6341,41,0,0
B10055,5,M-1,34403,24509,6026,50,0,0
B10056,0,M-6,75717,40200,7866,49,0,0
B10056,1,M-5,75875,49030,19717,35,0,0
B10056,2,M-4,79069,46366,19216,42,0,0
B10056,3,M-3,72592,38753,31025,84,0,0
B10056,4,M-2,76417,52699,16351,73,0,0
B10056,5,M-1,74577,44337,33745,36,0,0
B10057,0,M-6,49747,26178,6312,66,0,0
B10057,1,M-5,44222,22490,9149,32,0,0
B10057,2,M-4,47906,21707,5078,75,0,0
B10057,3,M-3,44522,29325,10807,30,0,0
B10057,4,M-2,41174,19845,15106,85,0,0
B10057,5,M-1,47995,32099,5387,66,0,0
B10058,0,M-6,26946,13350,12451,38,0,0
B10058,1,M-5,25369,12293,9098,79,0,0
B10058,2,M-4,26443,16766,10542,41,0,0
B10058,3,M-3,25134,16641,3556,85,0,0
B10058,4,M-2,24499,15238,12631,30,0,0
B10058,5,M-1,27782,13092,8954,85,0,0
B10059,0,M-6,54000,32803,56914,86,0,0
B10059,1,M-5,59600,54209,39456,62,0,0
B10059,2,M-4,55497,27590,36042,35,0,0
B10059,3,M-3,50925,45569,21920,41,0,0
B10059,4,M-2,50077,36819,43333,39,0,0
B10059,5,M-1,46581,28524,37528,56,0,0
B10060,0,M-6,57255,32245,26799,30,0,0
B10060,1,M-5,55609,33267,13656,45,0,0
B10060,2,M-4,54273,24883,12664,89,0,0
B10060,3,M-3,54011,43023,15800,34,0,0
B10060,4,M-2,47535,35003,10264,49,0,0
B10060,5,M-1,54476,40773,8271,28,0,0
B10061,0,M-6,126925,100589,25151,29,0,0
B10061,1,M-5,109582,64161,59782,89,0,0
B10061,2,M-4,125059,97820,22746,47,0,0
B10061,3,M-3,112094,55828,46866,58,0,0
B10061,4,M-2,118309,89376,44792,52,0,0
B10061,5,M-1,115596,69273,26897,64,0,0
B10062,0,M-6,59479,40741,11866,38,0,0
B10062,1,M-5,60922,47772,18062,65,0,0
B10062,2,M-4,69812,52594,29809,52,0,0
B10062,3,M-3,73275,48565,28152,71,0,0
B10062,4,M-2,70078,54570,21538,59,0,0
B10062,5,M-1,75835,52814,7560,32,0,0
B10063,0,M-6,73284,55262,13783,71,0,0
B10063,1,M-5,78320,43729,32736,54,0,0
B10063,2,M-4,82436,40488,12263,38,0,0
B10063,3,M-3,83196,44808,22774,80,0,0
B10063,4,M-2,82721,37391,36402,40,0,0
B10063,5,M-1,84282,51960,21215,30,0,0
B10064,0,M-6,27542,21986,7109,33,0,0
B10064,1,M-5,28105,17760,10382,57,0,0
B10064,2,M-4,26312,17453,11286,88,0,0
B10064,3,M-3,25629,11748,10307,32,0,0
B10064,4,M-2,30827,22499,14705,51,0,0
B10064,5,M-1,28206,18225,10449,25,0,0
B10065,0,M-6,39646,33401,48445,84,0,0
B10065,1,M-5,42040,19442,31717,57,0,0
B10065,2,M-4,39451,35972,45875,59,0,0
B10065,3,M-3,43887,22894,53774,78,0,0
B10065,4,M-2,44737,35269,11882,72,0,0
B10065,5,M-1,40342,32549,33967,25,0,0
B10066,0,M-6,25714,21427,17717,86,0,0
B10066,1,M-5,22808,20479,10841,48,0,0
B10066,2,M-4,22596,20532,13180,80,0,0
B10066,3,M-3,22860,15859,4605,32,0,0
B10066,4,M-2,23156,20213,11624,47,0,0
B10066,5,M-1,23162,16306,15618,71,0,0
B10067,0,M-6,24187,21951,38605,62,0,0
B10067,1,M-5,26071,18385,33445,80,0,0
B10067,2,M-4,25391,22865,37795,25,0,0
B10067,3,M-3,30512,28662,6751,43,0,0
B10067,4,M-2,29430,19596,24131,65,0,0
B10067,5,M-1,36273,23687,18525,38,0,0
B10068,0,M-6,29173,22070,38615,59,0,0
B10068,1,M-5,26367,17851,38712,62,0,0
B10068,2,M-4,28736,18002,41536,44,0,0
B10068,3,M-3,28238,22521,26566,44,0,0
B10068,4,M-2,32514,18865,27813,62,0,0
B10068,5,M-1,31728,24689,14519,72,0,0
B10069,0,M-6,34413,20686,15929,80,0,0
B10069,1,M-5,31522,17131,4750,67,0,0
B10069,2,M-4,32927,23727,13625,72,0,0
B10069,3,M-3,35338,18313,8011,69,0,0
B10069,4,M-2,33493,21491,12584,79,0,0
B10069,5,M-1,33249,16099,4826,53,0,0
B10070,0,M-6,48476,37923,19129,70,0,0
B10070,1,M-5,47524,35040,32998,86,0,0
B10070,2,M-4,43237,28884,51309,75,0,0
B10070,3,M-3,45106,32479,4470,87,0,0
B10070,4,M-2,44695,30885,35888,85,0,0
B10070,5,M-1,40207,31800,26604,66,0,0
B10071,0,M-6,48356,32105,24060,29,0,0
B10071,1,M-5,57763,28302,18731,65,0,0
B10071,2,M-4,51141,26640,13020,79,0,0
B10071,3,M-3,60508,35743,8220,69,0,0
B10071,4,M-2,60029,33770,26927,38,0,0
B10071,5,M-1,55643,28417,6943,42,0,0
B10072,0,M-6,21324,10172,12163,38,0,0
B10072,1,M-5,18795,14254,26663,54,0,0
B10072,2,M-4,18321,8725,16938,35,0,0
B10072,3,M-3,18127,12824,4075,40,0,0
B10072,4,M-2,19907,14729,13676,73,0,0
B10072,5,M-1,21859,12351,5158,39,0,0
B10073,0,M-6,44797,38554,30212,40,0,0
B10073,1,M-5,43115,19669,46155,86,0,0
B10073,2,M-4,39800,23796,41353,30,0,0
B10073,3,M-3,43120,25976,44530,80,0,0
B10073,4,M-2,45792,21165,30349,75,0,0
B10073,5,M-1,47264,30848,49469,49,0,0
B10074,0,M-6,48278,28326,8453,87,0,0
B10074,1,M-5,47576,24153,7136,34,0,0
B10074,2,M-4,47738,24895,23696,26,0,0
B10074,3,M-3,49832,34326,23295,55,0,0
B10074,4,M-2,49231,34865,5352,37,0,0
B10074,5,M-1,44662,32634,21387,58,0,0
B10075,0,M-6,43442,23956,20405,88,0,0
B10075,1,M-5,44133,22132,13932,83,0,0
B10075,2,M-4,42812,29592,16776,83,0,0
B10075,3,M-3,40024,25729,9537,51,0,0
B10075,4,M-2,45886,27811,5853,28,0,0
B10075,5,M-1,43988,28777,8069,85,0,0
B10076,0,M-6,41120,19056,4244,42,0,0
B10076,1,M-5,44944,38972,29382,67,1,0
B10076,2,M-4,44168,29088,30417,69,0,0
B10076,3,M-3,38638,19693,18937,89,0,0
B10076,4,M-2,36973,30421,35185,61,0,0
B10076,5,M-1,43210,33013,29569,70,0,0
B10077,0,M-6,15324,9673,20443,82,0,0
B10077,1,M-5,16788,13964,9581,71,0,0
B10077,2,M-4,15406,13207,6844,80,0,0
B10077,3,M-3,16296,9179,4626,33,0,0
B10077,4,M-2,16569,13179,19689,30,0,0
B10077,5,M-1,19661,16292,2731,32,0,0
B10078,0,M-6,76466,43191,13006,43,0,0
B10078,1,M-5,87539,48952,43607,53,0,0
B10078,2,M-4,88372,48755,39311,37,0,0
B10078,3,M-3,81378,60575,25808,69,0,0
B10078,4,M-2,84841,67835,26376,31,0,0
B10078,5,M-1,91126,62010,11914,34,0,0
B10079,0,M-6,58265,41799,34433,82,0,0
B10079,1,M-5,61133,37141,30607,53,0,0
B10079,2,M-4,61564,31515,25238,75,0,0
B10079,3,M-3,74901,38009,18891,45,0,0
B10079,4,M-2,69658,49973,22725,56,0,0
B10079,5,M-1,73710,47085,19977,61,0,0
B10080,0,M-6,48841,38631,7150,80,0,0
B10080,1,M-5,46509,25245,12030,62,0,0
B10080,2,M-4,54220,36251,26550,71,0,0
B10080,3,M-3,53710,35295,11503,61,0,0
B10080,4,M-2,54999,32971,13129,29,0,0
B10080,5,M-1,60089,37653,12087,68,0,0
B10081,0,M-6,78165,61542,23714,26,0,0
B10081,1,M-5,79532,38126,27444,81,0,0
B10081,2,M-4,81414,48234,19769,67,0,0
B10081,3,M-3,70282,54827,31396,34,0,0
B10081,4,M-2,71700,50697,38122,58,0,0
B10081,5,M-1,84104,65802,38078,41,0,0
B10082,0,M-6,18244,13969,19659,74,0,0
B10082,1,M-5,16344,7632,19391,78,0,0
B10082,2,M-4,17921,12286,10070,79,0,0
B10082,3,M-3,16992,15095,18442,78,0,0
B10082,4,M-2,16737,11769,8814,64,0,0
B10082,5,M-1,16909,13846,10898,26,0,0
B10083,0,M-6,53081,38998,10360,73,0,0
B10083,1,M-5,47096,28303,9164,39,0,0
B10083,2,M-4,50827,35800,8817,36,0,0
B10083,3,M-3,49996,23002,24607,40,0,0
B10083,4,M-2,46275,24846,16715,67,0,0
B10083,5,M-1,42403,26040,22506,88,0,0
B10084,0,M-6,24551,19714,18149,89,0,0
B10084,1,M-5,27713,13036,15324,71,0,0
B10084,2,M-4,25200,17551,32623,81,0,0
B10084,3,M-3,23135,11493,33412,36,0,0
B10084,4,M-2,23118,16284,12364,82,0,0
B10084,5,M-1,24924,18488,37070,59,0,0
B10085,0,M-6,35212,23283,8038,31,0,0
B10085,1,M-5,32391,16842,9179,50,0,0
B10085,2,M-4,32392,21382,4490,52,0,0
B10085,3,M-3,33742,17385,11624,31,0,0
B10085,4,M-2,35441,28022,12228,67,0,0
B10085,5,M-1,37578,29151,10259,67,0,0
B10086,0,M-6,35840,24792,16331,68,0,0
B10086,1,M-5,36943,17757,5184,37,0,0
B10086,2,M-4,36808,25530,5899,26,0,0
B10086,3,M-3,34289,17172,6620,79,0,0
B10086,4,M-2,36668,23413,4524,75,0,0
B10086,5,M-1,31622,18899,4933,83,0,0
B10087,0,M-6,38156,29034,17315,73,0,0
B10087,1,M-5,37821,19461,13317,64,0,0
B10087,2,M-4,34506,22705,51587,44,0,0
B10087,3,M-3,36170,17127,4580,82,0,0
B10087,4,M-2,38179,20208,43597,83,0,0
B10087,5,M-1,36441,17558,24454,65,0,0
B10088,0,M-6,23369,12128,17508,84,0,0
B10088,1,M-5,25687,23784,20532,69,0,0
B10088,2,M-4,27748,18627,29325,71,0,0
B10088,3,M-3,27274,13222,14375,51,0,0
B10088,4,M-2,30446,20309,16277,27,0,0
B10088,5,M-1,33150,17419,22554,88,0,0
B10089,0,M-6,26603,16480,12171,73,0,0
B10089,1,M-5,30095,24296,39444,68,0,0
B10089,2,M-4,31745,17997,14624,68,0,0
B10089,3,M-3,31662,23316,8433,49,0,0
B10089,4,M-2,31291,15728,23071,37,0,0
B10089,5,M-1,31628,21417,8689,52,1,0
B10090,0,M-6,87705,40839,26734,45,0,0
B10090,1,M-5,92952,52819,22936,79,0,0
B10090,2,M-4,97801,48557,14205,66,0,0
B10090,3,M-3,94204,64391,14588,72,0,0
B10090,4,M-2,80181,53615,31941,50,0,0
B10090,5,M-1,92013,52323,10816,68,0,0
B10091,0,M-6,25664,14859,33693,83,0,0
B10091,1,M-5,21694,12361,22294,40,0,0
B10091,2,M-4,23906,16787,33950,42,0,0
B10091,3,M-3,23032,16734,4710,26,0,0
B10091,4,M-2,24575,22286,3161,61,0,0
B10091,5,M-1,24384,12210,27785,67,0,0
B10092,0,M-6,33758,20073,14580,70,0,0
B10092,1,M-5,34503,22025,13205,67,0,0
B10092,2,M-4,30151,13895,13775,68,0,0
B10092,3,M-3,34225,19630,13530,78,0,0
B10092,4,M-2,32293,16534,12959,70,0,0
B10092,5,M-1,30106,18423,15101,53,0,0
B10093,0,M-6,31994,18843,22341,54,0,0
B10093,1,M-5,31203,17078,7136,62,0,0
B10093,2,M-4,32041,26232,47427,52,0,0
B10093,3,M-3,33093,19028,10852,45,0,0
B10093,4,M-2,37874,18875,25034,77,0,0
